id,character,rating
3292522349,Obi Wan Kenobi,Favorably
3292522349,Emperor Palpatine,Neutral
3292522349,Darth Vader,Favorably
3292522349,Lando Calrissian,Neutral
3292522349,Boba Fett,Favorably
3292522349,C-3P0,Favorably
3292522349,R2 D2,Favorably
3292522349,Jar Jar Binks,Unfavorably
3292522349,Padme Amidala,Neutral
3292522349,Yoda,Favorably
3292521066,Han Solo,Neutral
3292521066,Luke Skywalker,Neutral
3292521066,Princess Leia Organa,Neutral
3292521066,Anakin Skywalker,Neutral
3292521066,Obi Wan Kenobi,Neutral
3292521066,Emperor Palpatine,Neutral
3292521066,Darth Vader,Neutral
3292521066,Lando Calrissian,Neutral
3292521066,Boba Fett,Neutral
3292521066,C-3P0,Neutral
3292521066,R2 D2,Neutral
3292521066,Jar Jar Binks,Neutral
3292521066,Padme Amidala,Neutral
3292521066,Yoda,Neutral
3292511801,Han Solo,Favorably
3292511801,Luke Skywalker,Favorably
3292511801,Princess Leia Organa,Favorably
3292511801,Anakin Skywalker,Neutral
3292511801,Obi Wan Kenobi,Favorably
3292511801,Emperor Palpatine,Unfavorably
3292511801,Darth Vader,Favorably
3292511801,Lando Calrissian,Favorably
3292511801,Boba Fett,Unfavorably
3292511801,C-3P0,Favorably
3292511801,R2 D2,Favorably
3292511801,Jar Jar Binks,Unfavorably
3292511801,Padme Amidala,Neutral
3292511801,Yoda,Favorably
3292483200,Han Solo,Favorably
3292483200,Luke Skywalker,Favorably
3292483200,Princess Leia Organa,Favorably
3292483200,Anakin Skywalker,Unfavorably
3292483200,Obi Wan Kenobi,Favorably
3292483200,Emperor Palpatine,Favorably
3292483200,Darth Vader,Favorably
3292483200,Lando Calrissian,Neutral
3292483200,Boba Fett,Neutral
3292483200,C-3P0,Favorably
3292483200,R2 D2,Favorably
3292483200,Jar Jar Binks,Favorably
3292483200,Padme Amidala,Neutral
3292483200,Yoda,Favorably
3292465491,Han Solo,Favorably
3292465491,Luke Skywalker,Favorably
3292465491,Princess Leia Organa,Favorably
3292465491,Anakin Skywalker,Favorably
3292465491,Obi Wan Kenobi,Favorably
3292465491,Emperor Palpatine,Favorably
3292465491,Darth Vader,Favorably
3292465491,Lando Calrissian,Favorably
3292465491,Boba Fett,Favorably
3292465491,C-3P0,Favorably
3292465491,R2 D2,Favorably
3292465491,Jar Jar Binks,Favorably
3292465491,Padme Amidala,Favorably
3292465491,Yoda,Favorably
3292420123,Han Solo,Favorably
3292420123,Luke Skywalker,Favorably
3292420123,Princess Leia Organa,Favorably
3292420123,Anakin Skywalker,Favorably
3292420123,Obi Wan Kenobi,Favorably
3292420123,Emperor Palpatine,Favorably
3292420123,Darth Vader,Favorably
3292420123,Lando Calrissian,Favorably
3292420123,Boba Fett,Favorably
3292420123,C-3P0,Favorably
3292420123,R2 D2,Favorably
3292420123,Jar Jar Binks,Unfavorably
3292420123,Padme Amidala,Favorably
3292420123,Yoda,Favorably
3292384040,Han Solo,Favorably
3292384040,Luke Skywalker,Favorably
3292384040,Princess Leia Organa,Favorably
3292384040,Anakin Skywalker,Favorably
3292384040,Obi Wan Kenobi,Favorably
3292384040,Emperor Palpatine,Unfavorably
3292384040,Darth Vader,Unfavorably
3292384040,Lando Calrissian,Favorably
3292384040,Boba Fett,Unfavorably
3292384040,C-3P0,Favorably
3292384040,R2 D2,Favorably
3292384040,Jar Jar Binks,Favorably
3292384040,Padme Amidala,Favorably
3292384040,Yoda,Favorably
3292380493,Han Solo,Favorably
3292380493,Luke Skywalker,Favorably
3292380493,Princess Leia Organa,Neutral
3292380493,Anakin Skywalker,Unfavorably
3292380493,Obi Wan Kenobi,Unfavorably
3292380493,Emperor Palpatine,Unfavorably
3292380493,Darth Vader,Favorably
3292380493,Lando Calrissian,Favorably
3292380493,Boba Fett,Favorably
3292380493,C-3P0,Unfavorably
3292380493,R2 D2,Unfavorably
3292380493,Jar Jar Binks,Unfavorably
3292380493,Padme Amidala,Unfavorably
3292380493,Yoda,Favorably
3292376985,Han Solo,Favorably
3292376985,Luke Skywalker,Favorably
3292376985,Princess Leia Organa,Favorably
3292376985,Anakin Skywalker,Unfavorably
3292376985,Obi Wan Kenobi,Favorably
3292376985,Emperor Palpatine,Favorably
3292376985,Darth Vader,Favorably
3292376985,Lando Calrissian,Favorably
3292376985,Boba Fett,Favorably
3292376985,C-3P0,Favorably
3292376985,R2 D2,Favorably
3292376985,Jar Jar Binks,Unfamiliar
3292376985,Padme Amidala,Unfavorably
3292376985,Yoda,Favorably
3292366792,Han Solo,Neutral
3292366792,Luke Skywalker,Neutral
3292366792,Princess Leia Organa,Neutral
3292366792,Anakin Skywalker,Neutral
3292366792,Obi Wan Kenobi,Favorably
3292366792,Emperor Palpatine,Unfamiliar
3292366792,Darth Vader,Favorably
3292366792,Lando Calrissian,Favorably
3292366792,Boba Fett,Favorably
3292366792,C-3P0,Favorably
3292366792,R2 D2,Favorably
3292366792,Jar Jar Binks,Unfavorably
3292366792,Padme Amidala,Unfamiliar
3292366792,Yoda,Favorably
3292339379,Han Solo,Favorably
3292339379,Luke Skywalker,Favorably
3292339379,Princess Leia Organa,Favorably
3292339379,Anakin Skywalker,Favorably
3292339379,Obi Wan Kenobi,Favorably
3292339379,Emperor Palpatine,Favorably
3292339379,Darth Vader,Favorably
3292339379,Lando Calrissian,Favorably
3292339379,Boba Fett,Favorably
3292339379,C-3P0,Favorably
3292339379,R2 D2,Favorably
3292339379,Jar Jar Binks,Unfavorably
3292339379,Padme Amidala,Favorably
3292339379,Yoda,Favorably
3292330840,Han Solo,Unfavorably
3292330840,Luke Skywalker,Unfavorably
3292330840,Princess Leia Organa,Unfavorably
3292330840,Anakin Skywalker,Unfavorably
3292330840,Obi Wan Kenobi,Unfavorably
3292330840,Emperor Palpatine,Unfavorably
3292330840,Darth Vader,Unfavorably
3292330840,Lando Calrissian,Unfavorably
3292330840,Boba Fett,Unfavorably
3292330840,C-3P0,Unfavorably
3292330840,R2 D2,Unfavorably
3292330840,Jar Jar Binks,Unfavorably
3292330840,Padme Amidala,Unfavorably
3292330840,Yoda,Unfavorably
3292318652,Han Solo,NA
3292318652,Luke Skywalker,NA
3292318652,Princess Leia Organa,NA
3292318652,Anakin Skywalker,NA
3292318652,Obi Wan Kenobi,NA
3292318652,Emperor Palpatine,NA
3292318652,Darth Vader,NA
3292318652,Lando Calrissian,NA
3292318652,Boba Fett,NA
3292318652,C-3P0,NA
3292318652,R2 D2,NA
3292318652,Jar Jar Binks,NA
3292318652,Padme Amidala,NA
3292318652,Yoda,NA
3292290677,Han Solo,Favorably
3292290677,Luke Skywalker,Favorably
3292290677,Princess Leia Organa,Favorably
3292290677,Anakin Skywalker,Favorably
3292290677,Obi Wan Kenobi,Favorably
3292290677,Emperor Palpatine,Favorably
3292290677,Darth Vader,Favorably
3292290677,Lando Calrissian,Neutral
3292290677,Boba Fett,Favorably
3292290677,C-3P0,Favorably
3292290677,R2 D2,Favorably
3292290677,Jar Jar Binks,Unfavorably
3292290677,Padme Amidala,Favorably
3292290677,Yoda,Favorably
3292281095,Han Solo,Favorably
3292281095,Luke Skywalker,Neutral
3292281095,Princess Leia Organa,Neutral
3292281095,Anakin Skywalker,Favorably
3292281095,Obi Wan Kenobi,Favorably
3292281095,Emperor Palpatine,Neutral
3292281095,Darth Vader,Favorably
3292281095,Lando Calrissian,Neutral
3292281095,Boba Fett,Neutral
3292281095,C-3P0,Neutral
3292281095,R2 D2,Neutral
3292281095,Jar Jar Binks,Neutral
3292281095,Padme Amidala,Neutral
3292281095,Yoda,Neutral
3292279889,Han Solo,Favorably
3292279889,Luke Skywalker,Favorably
3292279889,Princess Leia Organa,Favorably
3292279889,Anakin Skywalker,Favorably
3292279889,Obi Wan Kenobi,Favorably
3292279889,Emperor Palpatine,Unfavorably
3292279889,Darth Vader,Unfavorably
3292279889,Lando Calrissian,Neutral
3292279889,Boba Fett,Unfavorably
3292279889,C-3P0,Neutral
3292279889,R2 D2,Favorably
3292279889,Jar Jar Binks,Neutral
3292279889,Padme Amidala,Favorably
3292279889,Yoda,Favorably
3292264069,Han Solo,Favorably
3292264069,Luke Skywalker,Favorably
3292264069,Princess Leia Organa,Favorably
3292264069,Anakin Skywalker,Favorably
3292264069,Obi Wan Kenobi,Favorably
3292264069,Emperor Palpatine,Favorably
3292264069,Darth Vader,Favorably
3292264069,Lando Calrissian,Favorably
3292264069,Boba Fett,Favorably
3292264069,C-3P0,Favorably
3292264069,R2 D2,Favorably
3292264069,Jar Jar Binks,Neutral
3292264069,Padme Amidala,Favorably
3292264069,Yoda,Favorably
3292257520,Han Solo,Favorably
3292257520,Luke Skywalker,Favorably
3292257520,Princess Leia Organa,Favorably
3292257520,Anakin Skywalker,Favorably
3292257520,Obi Wan Kenobi,Favorably
3292257520,Emperor Palpatine,Unfavorably
3292257520,Darth Vader,Favorably
3292257520,Lando Calrissian,Favorably
3292257520,Boba Fett,Favorably
3292257520,C-3P0,Favorably
3292257520,R2 D2,Favorably
3292257520,Jar Jar Binks,Neutral
3292257520,Padme Amidala,Favorably
3292257520,Yoda,Favorably
3292249492,Han Solo,Favorably
3292249492,Luke Skywalker,Favorably
3292249492,Princess Leia Organa,Favorably
3292249492,Anakin Skywalker,Neutral
3292249492,Obi Wan Kenobi,Favorably
3292249492,Emperor Palpatine,Favorably
3292249492,Darth Vader,Favorably
3292249492,Lando Calrissian,Favorably
3292249492,Boba Fett,Neutral
3292249492,C-3P0,Favorably
3292249492,R2 D2,Favorably
3292249492,Jar Jar Binks,Unfavorably
3292249492,Padme Amidala,Neutral
3292249492,Yoda,Favorably
3292222729,Han Solo,Favorably
3292222729,Luke Skywalker,Favorably
3292222729,Princess Leia Organa,Favorably
3292222729,Anakin Skywalker,Favorably
3292222729,Obi Wan Kenobi,Favorably
3292222729,Emperor Palpatine,Favorably
3292222729,Darth Vader,Favorably
3292222729,Lando Calrissian,Favorably
3292222729,Boba Fett,Favorably
3292222729,C-3P0,Favorably
3292222729,R2 D2,Favorably
3292222729,Jar Jar Binks,Favorably
3292222729,Padme Amidala,Favorably
3292222729,Yoda,Favorably
3292221635,Han Solo,Favorably
3292221635,Luke Skywalker,Favorably
3292221635,Princess Leia Organa,Favorably
3292221635,Anakin Skywalker,Favorably
3292221635,Obi Wan Kenobi,Favorably
3292221635,Emperor Palpatine,Favorably
3292221635,Darth Vader,Favorably
3292221635,Lando Calrissian,Favorably
3292221635,Boba Fett,Favorably
3292221635,C-3P0,Unfavorably
3292221635,R2 D2,Favorably
3292221635,Jar Jar Binks,Unfavorably
3292221635,Padme Amidala,Favorably
3292221635,Yoda,Neutral
3292218251,Han Solo,Favorably
3292218251,Luke Skywalker,Favorably
3292218251,Princess Leia Organa,Favorably
3292218251,Anakin Skywalker,Favorably
3292218251,Obi Wan Kenobi,Favorably
3292218251,Emperor Palpatine,Favorably
3292218251,Darth Vader,Favorably
3292218251,Lando Calrissian,Favorably
3292218251,Boba Fett,Favorably
3292218251,C-3P0,Favorably
3292218251,R2 D2,Favorably
3292218251,Jar Jar Binks,Unfavorably
3292218251,Padme Amidala,Favorably
3292218251,Yoda,Favorably
3292214307,Han Solo,Favorably
3292214307,Luke Skywalker,Favorably
3292214307,Princess Leia Organa,Favorably
3292214307,Anakin Skywalker,Favorably
3292214307,Obi Wan Kenobi,Favorably
3292214307,Emperor Palpatine,Favorably
3292214307,Darth Vader,Favorably
3292214307,Lando Calrissian,Favorably
3292214307,Boba Fett,Favorably
3292214307,C-3P0,Favorably
